year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_nm,max_torque_rpm,brand
2014,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,190.0,2000.0,Maruti
2014,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5,250.0,2500.0,Skoda
2010,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5,219.67,2750.0,Hyundai
2007,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,5,112.78,4500.0,Maruti
2017,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,113.75,4000.0,Hyundai
2007,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,5,76.49,4500.0,Maruti
2001,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,59.0,2500.0,Maruti
2011,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,5,170.0,2400.0,Toyota
2013,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,5,160.0,2000.0,Ford
2014,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5,248.0,2250.0,Renault
2005,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5,78.0,4500.0,Maruti
2009,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5,190.0,2000.0,Maruti
2007,80000,Petrol,Individual,Manual,Second Owner,19.369999,1248,81.86,5,160.0,3000.0,Maruti
2009,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5,84.0,3500.0,Maruti
2016,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,5,115.0,3600.0,Mahindra
2012,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5,219.67,2750.0,Hyundai
2002,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,62.0,3000.0,Maruti
2016,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,219.7,2750.0,Hyundai
2011,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5,160.0,2000.0,Mahindra
2017,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5,200.0,1750.0,Honda
2015,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,190.0,2000.0,Maruti
2012,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5,200.0,1750.0,Maruti
2016,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,115.0,4000.0,Maruti
